wkt_geom,years,predicted,
"MultiPolygon (((765736.91327600576914847 1684779.40782268345355988, 765955.47044693143106997 1684787.09193861810490489, 765953.96750828064978123 1684720.6485252333804965, 765737.71203278645407408 1684709.0050649440381676, 765736.91327600576914847 1684779.40782268345355988)))",2021,3,
"MultiPolygon (((773905.5299247691873461 1684621.82076693931594491, 773952.06168929184786975 1684648.12132949475198984, 774004.6628144052810967 1684664.30629106797277927, 774082.89012867724522948 1684460.64552460750564933, 774011.40654839447233826 1684444.46056303451769054, 773983.75723904091864824 1684513.92102311970666051, 773956.10792968515306711 1684502.45667533809319139, 773905.5299247691873461 1684621.82076693931594491)))",2021,2,
"MultiPolygon (((767629.6333375999238342 1676208.75171793135814369, 767634.4642550942953676 1676209.47089104796759784, 767681.96806057263165712 1676202.37179214484058321, 767701.92976913135498762 1676149.12525379494763911, 767647.18299081886652857 1676140.64245743677020073, 767629.6333375999238342 1676208.75171793135814369)))",2021,2,
"MultiPolygon (((765739.43057501933071762 1679608.25253321533091366, 765709.67423414601944387 1679727.18406763253733516, 765869.25209393352270126 1679744.53615517052821815, 765903.7381014273269102 1679668.3889504736289382, 765739.43057501933071762 1679608.25253321533091366)))",2021,1,
"MultiPolygon (((773344.99064760073088109 1670179.74832165590487421, 773373.24898557015694678 1670275.51148470467887819, 773535.18427095969673246 1670187.81644755625165999, 773493.57827735249884427 1670074.29486585804261267, 773344.99064760073088109 1670179.74832165590487421)))",2021,1,
"MultiPolygon (((768523.92335772467777133 1675810.62794386805035174, 768565.9374512757640332 1675813.54262972669675946, 768608.06295360694639385 1675608.65265278168953955, 768570.16598132427316159 1675603.01709918421693146, 768523.92335772467777133 1675810.62794386805035174)))",2021,3,
"MultiPolygon (((770865.1089969240128994 1674325.42266384582035244, 770865.82284670136868954 1674394.53708699159324169, 770952.09486090997233987 1674393.47340443311259151, 770971.52283265953883529 1674316.84009003546088934, 770865.1089969240128994 1674325.42266384582035244)))",2021,1,
"MultiPolygon (((768399.67797372466884553 1675046.04968443582765758, 768498.55471216654404998 1675060.41870435187593102, 768471.8820708051789552 1674908.03548502991907299, 768394.94744539423845708 1674890.38338789157569408, 768395.58719636220484972 1674935.54561509448103607, 768399.67797372466884553 1675046.04968443582765758)))",2021,1,
"MultiPolygon (((771374.03526743501424789 1680900.23712389706633985, 771461.51224332314450294 1680910.10303186066448689, 771468.37642234936356544 1680862.31425566202960908, 771470.99285885400604457 1680789.75008163368329406, 771470.91871947713661939 1680774.28063499764539301, 771464.08089164504781365 1680735.58244077605195343, 771460.07365280482918024 1680686.24669227469712496, 771401.87755604181438684 1680684.15652623074129224, 771400.63216253696009517 1680690.89916297048330307, 771398.10356143652461469 1680704.17057534866034985, 771394.90879307466093451 1680747.58677873993292451, 771393.15177239407785237 1680785.29012346570380032, 771374.03526743501424789 1680900.23712389706633985)))",2021,1,
"MultiPolygon (((760089.5800266582518816 1677444.09090268239378929, 760171.03244063165038824 1677458.38679468864575028, 760221.21771320886909962 1677412.33479764265939593, 760144.16262323595583439 1677369.85750030167400837, 760118.94790534640196711 1677355.29774709907360375, 760124.75401192519348115 1677394.21951565355993807, 760143.13713438669219613 1677394.53346134559251368, 760142.12736521265469491 1677427.51249987888149917, 760090.94251429208088666 1677427.83227880974300206, 760089.5800266582518816 1677444.09090268239378929)))",2021,1,
"MultiPolygon (((763840.47070657985750586 1684181.17465636390261352, 763973.7772522009909153 1684170.60888117318972945, 763942.58618740027304739 1684076.70842860150150955, 763866.6347602098248899 1684081.94199981051497161, 763840.47070657985750586 1684181.17465636390261352)))",2021,1,
"MultiPolygon (((768983.25000995816662908 1671375.54812683397904038, 769130.66402908926829696 1671257.1051510339602828, 769072.39824830857105553 1671084.39535995433107018, 768897.0914360712049529 1671092.47398039512336254, 768983.25000995816662908 1671375.54812683397904038)))",2021,1,
"MultiPolygon (((769990.58855448849499226 1675237.45659558451734483, 770029.33161490981001407 1675557.61372623569332063, 770079.29540566063951701 1675587.41920023271813989, 770046.86009351932443678 1675229.93125501647591591, 769990.58855448849499226 1675237.45659558451734483)))",2021,3,
"MultiPolygon (((774280.45960034383460879 1673954.31311271456070244, 774356.48373906943015754 1673767.38929477520287037, 774307.84549527219496667 1673748.85956139001064003, 774278.54869954823516309 1673738.05072135501541197, 774249.73284050961956382 1673857.20275806216523051, 774265.75923982379026711 1673863.56658025737851858, 774236.40793087123893201 1673949.98989724041894078, 774280.45960034383460879 1673954.31311271456070244)))",2021,3,
"MultiPolygon (((773896.24985498772002757 1670061.24266468570567667, 774031.24616663600318134 1670089.26823254069313407, 774078.92620504728984088 1669892.08299965434707701, 774053.07733163726516068 1669885.58327146456576884, 774019.59461348503828049 1669878.77366063767112792, 773914.31644243118353188 1669996.68346761725842953, 773896.24985498772002757 1670061.24266468570567667)))",2021,1,
"MultiPolygon (((764853.83355219720397145 1673195.86968970764428377, 764873.20995681930799037 1673165.53165356838144362, 764804.28012642147950828 1673116.93176426156423986, 764785.4849411336472258 1673143.40157187217846513, 764853.83355219720397145 1673195.86968970764428377)))",2021,1,
"MultiPolygon (((771480.73557769064791501 1680736.10287342593073845, 771467.42166725569404662 1680911.2100697779096663, 771615.87643196946009994 1680932.08065042993985116, 771630.66208265535533428 1680741.37960689375177026, 771480.73557769064791501 1680736.10287342593073845)))",2021,4,
"MultiPolygon (((759956.25126550998538733 1669129.45906193740665913, 759955.79114596056751907 1669093.03224582294933498, 759843.94017361931037158 1669082.0611741307657212, 759820.78361015918198973 1669114.24315154226496816, 759821.98717829480301589 1669131.96906663035042584, 759956.25126550998538733 1669129.45906193740665913)))",2021,2,
"MultiPolygon (((774216.64042522863019258 1670260.81319784070365131, 774386.89973324211314321 1670299.65749175986275077, 774446.23532016901299357 1670312.52515431260690093, 774459.32636768463999033 1670222.66513471631333232, 774229.09904832532629371 1670179.02811057982034981, 774216.64042522863019258 1670260.81319784070365131)))",2021,1,
"MultiPolygon (((761925.56794820178765804 1684391.28972983313724399, 761837.93111141712870449 1684384.33187128650024533, 761967.52569829719141126 1685108.92199410055764019, 762048.56345874140970409 1685100.19716826151125133, 761925.56794820178765804 1684391.28972983313724399)))",2021,1,
"MultiPolygon (((770980.85881306638475507 1677002.88718233606778085, 770968.56421520037110895 1677217.64880900247953832, 771062.6280144052579999 1677225.25184946646913886, 771054.86117097432725132 1677058.22010902664624155, 770980.85881306638475507 1677002.88718233606778085)))",2021,3,
"MultiPolygon (((766023.00279368972405791 1677574.75171093363314867, 766095.20587707380764186 1677427.54898170963861048, 766041.4011645307764411 1677412.10542876762337983, 765976.28194001328665763 1677550.97440254082903266, 766023.00279368972405791 1677574.75171093363314867)))",2021,1,
"MultiPolygon (((770831.74162237043492496 1675704.74913057405501604, 770883.59142864891327918 1675712.76315607409924269, 770893.92585753882303834 1675618.33260447182692587, 770846.70711421361193061 1675609.70755662745796144, 770831.74162237043492496 1675704.74913057405501604)))",2021,3,
"MultiPolygon (((768801.05820064712315798 1681752.09667108999565244, 769008.19355516403447837 1681787.45875894301570952, 769022.50621642160695046 1681787.9693773272447288, 769024.11126589856576174 1681661.55762778013013303, 768949.71077967504970729 1681630.50250837160274386, 768941.66952425427734852 1681648.80107911070808768, 768862.59502496058121324 1681700.14911389444023371, 768801.05820064712315798 1681752.09667108999565244)))",2021,1,
"MultiPolygon (((770158.13999084709212184 1674321.2434830495622009, 770165.37253636331297457 1674396.83882331289350986, 770169.01972696569282562 1674419.08292515366338193, 770409.83048595394939184 1674408.64155324944294989, 770431.72458331123925745 1674406.67486953269690275, 770446.22090138297062367 1674270.47568782768212259, 770450.40692142106126994 1674180.89129907987080514, 770239.97430082410573959 1674185.73048087046481669, 770153.13859689980745316 1674208.83658360852859914, 770144.14363089413382113 1674232.53777749720029533, 770158.13999084709212184 1674321.2434830495622009)))",2021,3,
"MultiPolygon (((771291.1494492816273123 1674468.51752087962813675, 771385.913465715944767 1674464.58771184529177845, 771473.6524511429015547 1674461.07299665245227516, 771490.07872294471599162 1674460.77231409982778132, 771463.67723776446655393 1674347.21318525378592312, 771458.14912764145992696 1674335.12142584007233381, 771311.0956916322465986 1674332.16684488789178431, 771288.63408570515457541 1674427.06533598992973566, 771291.1494492816273123 1674468.51752087962813675)))",2021,3,
